City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,yellowknife,90,CA,1548900000,76,62.45,-114.38,-5.81,6.93
1,rafaela,68,AR,1548903030,91,-31.25,-61.49,79.48,2.95
2,faanui,88,PF,1548903387,99,-16.48,-151.75,83.98,20.07
3,coquimbo,75,CL,1548900000,93,-29.95,-71.34,62.6,5.82
4,mataura,44,NZ,1548903252,41,-46.19,168.86,85.69,20.07
5,provideniya,75,RU,1548901800,57,64.42,-173.23,19.4,20.13
6,pevek,44,RU,1548903249,93,69.7,170.27,-21.15,3.85
7,barrow,0,AR,1548903277,86,-38.31,-60.23,58.51,6.2
8,thompson,5,CA,1548900000,65,55.74,-97.86,-36.41,2.62
9,jamestown,0,AU,1548903093,44,-33.21,138.6,76.91,11.01
10,manggar,56,ID,1548903534,100,-2.88,108.27,80.15,5.64
11,atikokan,8,CA,1548903258,61,48.76,-91.62,-21.64,5.64
12,marsh harbour,56,BS,1548903438,100,26.54,-77.06,70.66,12.8
13,touros,40,BR,1548900000,83,-5.2,-35.46,80.6,6.93
14,sitka,0,US,1548903445,62,37.17,-99.65,32.09,11.45
15,antalaha,80,MG,1548903535,96,-14.9,50.28,76.51,7.2
16,airai,32,TL,1548903287,78,-8.93,125.41,79.48,2.06
17,nemuro,75,JP,1548901380,68,43.32,145.57,24.8,10.29
18,naze,48,NG,1548903450,95,5.43,7.07,72.77,2.62
19,hermanus,88,ZA,1548903254,96,-34.42,19.24,60.71,4.29
20,port elizabeth,1,US,1548899760,37,39.31,-74.98,15.98,16.11
21,butaritari,76,KI,1548903286,100,3.07,172.79,83.93,13.47
22,dayong,68,PH,1548903537,96,11.74,122.04,79.07,19.84
23,thinadhoo,44,MV,1548903538,98,0.53,72.93,83.26,17.27
24,okha,88,RU,1548903538,87,53.59,142.95,17.69,7.87
25,kijabe,75,KE,1548901800,77,-0.95,36.6,64.4,6.93
26,muisne,44,EC,1548903539,91,0.61,-80.02,74.12,3.06
27,nampa,1,US,1548900900,69,43.57,-116.56,35.96,3.18
28,dikson,0,RU,1548903313,77,73.51,80.55,-16.96,7.2
29,punta arenas,75,CL,1548900000,75,-53.16,-70.91,44.6,5.82
30,castro,0,CL,1548900000,76,-42.48,-73.76,48.2,6.93
31,cananeia,0,BR,1548903540,100,-25.01,-47.93,80.15,6.42
32,yekaterinoslavka,36,RU,1548903540,80,54.34,72.46,-1.12,11.34
33,henties bay,92,NA,1548903352,100,-22.12,14.28,62.11,2.17
34,ushuaia,75,AR,1548900000,81,-54.81,-68.31,42.8,19.46
35,kavieng,56,PG,1548903312,100,-2.57,150.8,83.48,8.88
36,necochea,0,AR,1548903541,89,-38.55,-58.74,58.24,7.54
37,rikitea,44,PF,1548903251,100,-23.12,-134.97,81.14,8.99
38,cabinda,76,AO,1548903542,100,-5.56,12.19,77.59,3.74
39,ulladulla,0,AU,1548900000,25,-35.36,150.48,98.6,18.34
40,weihe,0,CN,1548903543,59,32.99,105.33,35.15,2.17
41,srednekolymsk,56,RU,1548903543,71,67.46,153.71,-36.4,3.18
42,albany,20,US,1548899940,37,42.65,-73.75,3.92,13.87
43,roald,68,NO,1548901200,41,62.58,6.12,39.2,10.29
44,luderitz,20,NA,1548903400,91,-26.65,15.16,59.41,15.48
45,koster,0,ZA,1548903544,89,-25.86,26.9,54.46,2.73
46,chiredzi,0,ZW,1548903544,83,-21.05,31.67,65.53,2.39
47,capaccio,90,IT,1548899700,86,40.42,15.08,28.4,20.8
48,saskylakh,76,RU,1548903283,62,71.97,114.09,-13.23,12.24
49,nanortalik,0,GL,1548903396,100,60.14,-45.24,27.23,24.2
50,port augusta,0,AU,1548900000,43,-32.49,137.76,73.4,21.92
51,hasaki,75,JP,1548901800,86,35.73,140.83,46.4,8.05
52,vaini,8,IN,1548900000,76,15.34,74.49,57.2,4.74
53,puerto ayora,88,EC,1548903279,100,-0.74,-90.35,78.76,4.97
54,avarua,40,CK,1548900000,74,-21.21,-159.78,86.0,11.41
55,wanxian,68,CN,1548903547,98,30.8,108.39,43.21,3.18
56,cape town,0,ZA,1548900000,82,-33.93,18.42,68.0,16.11
57,ilulissat,64,GL,1548899400,77,69.22,-51.1,3.2,9.17
58,hilo,90,US,1548899580,68,19.71,-155.08,73.94,12.75
59,constantine,20,DZ,1548901800,94,36.36,6.61,33.8,2.24
60,liwale,92,TZ,1548903299,98,-9.8,37.92,72.05,2.62
61,kapaa,75,US,1548899760,68,22.08,-159.32,78.08,20.8
62,bethel,90,US,1548901920,95,60.79,-161.76,26.6,6.93
63,cabo san lucas,5,MX,1548898860,82,22.89,-109.91,73.4,3.36
64,grand baie,75,MU,1548900000,78,-20.02,57.58,80.6,6.93
65,meulaboh,88,ID,1548903281,100,4.14,96.13,77.23,4.97
66,waltershausen,40,DE,1548901200,86,50.9,10.57,30.2,6.93
67,shizunai,32,JP,1548903550,93,42.33,142.37,23.36,14.81
68,imeni poliny osipenko,64,RU,1548903550,62,52.42,136.49,6.71,11.34
69,praia da vitoria,40,PT,1548900000,87,38.73,-27.07,60.8,22.3
70,dondo,0,MZ,1548900000,78,-19.62,34.74,77.0,6.53
71,esperance,20,TT,1548900000,88,10.24,-61.45,73.4,5.3
72,solwezi,92,ZM,1548903551,100,-12.18,26.4,62.15,3.74
73,caala,76,AO,1548903552,100,-12.85,15.56,60.53,0.72
74,ancud,24,CL,1548900000,76,-41.87,-73.83,48.2,6.93
75,boguchany,44,RU,1548903413,79,58.38,97.46,-1.66,2.84
76,east london,92,ZA,1548903260,100,-33.02,27.91,71.78,13.91
77,iqaluit,40,CA,1548900000,82,63.75,-68.52,-25.61,2.24
78,qaanaaq,56,GL,1548903253,96,77.48,-69.36,-5.44,7.54
79,bathsheba,20,BB,1548900000,69,13.22,-59.52,77.0,12.75
80,busselton,0,AU,1548903267,77,-33.64,115.35,75.92,10.56
81,mandan,75,US,1548902100,83,46.83,-100.89,-11.03,8.05
82,upernavik,56,GL,1548903282,96,72.79,-56.15,6.71,10.11
83,belyy yar,0,RU,1548901800,44,53.6,91.39,17.6,4.47
84,gao,0,ML,1548903555,62,16.28,-0.04,51.71,3.62
85,porkhov,92,RU,1548900000,100,57.77,29.55,26.6,2.24
86,singojuruh,80,ID,1548903555,92,-8.31,114.21,79.25,2.17
87,hamilton,40,BM,1548899700,88,32.3,-64.78,66.2,10.29
88,hailun,48,CN,1548903556,53,47.46,126.97,7.39,5.3
89,adrar,0,DZ,1548900000,29,27.87,-0.29,48.2,4.7
90,lasa,75,CY,1548901800,63,34.92,32.53,60.8,13.87
91,norman wells,75,CA,1548900000,70,65.28,-126.83,-2.21,23.04
92,kang,44,BW,1548903557,42,-23.67,22.79,71.15,8.43
93,longyearbyen,20,NO,1548899400,58,78.22,15.63,28.4,20.8
94,pasni,12,PK,1548903558,99,25.26,63.48,67.46,9.89
95,adre,0,TD,1548903559,58,13.47,22.2,60.76,4.41
96,vezirkopru,75,TR,1548901200,75,41.14,35.45,41.0,5.82
97,poronaysk,76,RU,1548903559,79,49.22,143.1,14.59,15.14
98,arraial do cabo,0,BR,1548903345,82,-22.97,-42.02,78.31,17.16
99,san luis,0,AR,1548903560,48,-33.3,-66.34,79.48,13.91
100,gediz,92,TR,1548903561,98,38.99,29.39,38.26,5.75
101,muyezerskiy,80,RU,1548903561,87,63.93,31.65,19.67,5.3
102,laguna,20,MX,1548898980,63,27.52,-110.01,64.4,3.36
103,hithadhoo,80,MV,1548903280,98,-0.6,73.08,83.84,18.05
104,vestmannaeyjar,0,IS,1548903312,100,63.44,-20.27,21.43,13.91
105,tucuman,24,PE,1548903562,90,-17.17,-70.89,60.04,1.72
106,bredasdorp,88,ZA,1548900000,88,-34.53,20.04,68.0,4.7
107,katsuura,75,JP,1548900000,81,33.93,134.5,46.4,1.12
108,fort nelson,90,CA,1548900000,84,58.81,-122.69,5.0,6.93
109,atuona,44,PF,1548903254,100,-9.8,-139.03,81.32,18.95
110,santa maria da vitoria,0,BR,1548903563,45,-13.39,-44.19,77.36,11.68
111,bluff,8,AU,1548903261,43,-23.58,149.07,90.86,13.58
112,karratha,0,AU,1548903313,41,-20.74,116.85,95.9,10.67
113,carballo,92,ES,1548901800,93,43.21,-8.69,55.4,11.41
